product_code,product_name,cat_name,subcat_name,description,brand_name,unit_name,buy_price,sell_price,min_stock
BSUE019,Denver Superman,BODY SPRAY,subcat_name,description,DENVER,pcs,275,350,2
BSUE021,Body Spray,BODY SPRAY,,,DENVER,pcs,215,300,1
BSUE025,Denver Prime,BODY SPRAY,,,DENVER,pcs,230,320,2
BSUE027,Denver Honour,BODY SPRAY,,,DENVER,pcs,230,320,1
BSUE029,Denver ORginal,BODY SPRAY,,,DENVER,pcs,215,300,2
BSUE033,Denver Caliber,BODY SPRAY,,,DENVER,pcs,230,320,2
BS9080,Denim Body Spray,BODY SPRAY,,,DENVER,pcs,194,245,1
A S L9084,denim After Shave,After Shave ,,,DENVER,pcs,212,265,1
HWoi001,cocoa & shea buttera,Hand Wash,,,M&S,pcs,380,550,2
EPRE018,Miss & Mrs,Eye Pancil,,,M&S,pcs,260,350,2
kRE023,MISS & MRS Kajol,KAJOL,,,M&S,pcs,170,250,2
EPRE024,MISS & MES Ultra Fine Eye Pancil,Eye Pancil,,,M&S,pcs,80,120,2
DRE025,Miss & Mrs DIpliner,Dipliner,,,M&S,pcs,250,350,2
LOI029,M&S Lotion,LOTION,,,M&S,300ml,400,550,2
LA G S131,M&S Lotion,LOTION,,,M&S,300ml,450,600,2
DAI006,M&S Dipliner,Dipliner,,,M&S,pcs,270,350,2
BS9335,MAXY Body Spray,BODY SPRAY,,,M&S,pcs,185,260,2
DAI025,Miss & Mrs,Dipliner,,,M&S,pcs,290,380,1
So9551,Margo Soap,SOAP,,,M&S,pcs,55,75,1
TP9555,Meswak Tooth Past,Tooth Paste,,,M&S,pcs,40,75,1
F9563,Peel Of Mask,FACE ,,,M&S,pcs,140,250,1
HW9569,Invigorating hand Wash,Hand Wash,,,M&S,300ml,340,550,1
L9589,M & S lotion,LOTION,,,M&S,pcs,340,550,2
Li14141,MAC,Lipestic ,,,M&S,pcs,1450,2000,1
BS12161,M&S body spray,BODY SPRAY,,,M&S,pcs,450,700,1
Moi002,scandaleyes reloaded,maskara ,,,rimmel,pcs,700,900,2
M UOI019,RIMMEL MAKE UP,Make -Up,,,rimmel,pcs,600,800,1
FOI023,STAY MATTE,FACE ,,,rimmel,pcs,440,550,2
FOOI024,Stay Matte FOUNDATION,Foundation ,,,rimmel,pcs,550,700,2
ESoi003,brow bar,Eyebrow Stencil kit,,,W7,pcs,550,700,1
FPoi027,BANANA DREAMS,Face powder,,,W7,pcs,500,650,2
LiOI014,MEGA MATTE lipestic,Lipestic ,,,W7,pcs,280,400,2
LiOI033,W7 LIPESTIC,Lipestic ,,,W7,pcs,220,300,2
M U36167001,w7 Cheeky trio,Make -Up,,,W7,pcs,650,900,1
PC36167002,Banana dreams,Powder Cake,,,W7,pcs,450,650,1
M U36167003,w7 Nude,Make -Up,,,W7,pcs,520,750,1
Li36167004,Matt Kiss lipestic,Lipestic ,,,W7,pcs,200,300,1
M U36167005,w7 smokin,Make -Up,,,W7,946ml,520,750,1
L M36167006,w7 Lash,Lady Million ,,,W7,pcs,220,300,1
M U36167007,W7 Lightly Toasted,Make -Up,,,W7,pcs,520,750,1
Li36167008,Lipestic,Lipestic ,,,W7,pcs,200,300,1
M U36167009,W7 In The Night,Make -Up,,,W7,pcs,520,750,1
Li36167010,lipestic,Lipestic ,,,W7,pcs,180,280,1
M U36167011,W7 Shape Face,Make -Up,,,W7,pcs,500,700,1
M36167012,Flirty Eye Mascara,maskara ,,,W7,pcs,300,450,1
M36167013,Forever Lashes Mascara,maskara ,,,W7,pcs,300,450,1
M36167014,Big Lash Mascara,maskara ,,,W7,pcs,400,550,1
LIp36167015,Mega Matte lips,LIpliner,,,W7,pcs,300,450,1
FWoi006,Tea Tree,Face Wash ,,,body shop,pcs,850,1300,2
L Toi004,born lippy,Lip Titman,,,body shop,pcs,200,300,1
FWoi007,Seaweed,Face Wash ,,,body shop,pcs,800,1200,1
FWoi008,Tea tree,Face Wash ,,,body shop,pcs,520,800,1
PERFUMEoi012,INDIAN NIGHT JASMINE,PERFUME,,,body shop,pcs,800,1100,2
PERFUMEoi013,RED MUSK,PERFUME,,,body shop,pcs,800,1100,4
FWoi016,Tea Tree Cool & Creamy Wash,Face Wash ,,,body shop,pcs,650,850,2
NCoi017,VItamin E Nourishing ,Night Cream,,,body shop,pcs,850,1150,1
BSoi019,STRAWBERRY FRAISE EAU,BODY SPRAY,,,body shop,pcs,800,1400,1
B B Coi022,Tea Tree Flawless BB Cream,B B CREAM,,,body shop,pcs,780,1050,1
FCoi024,Vitamin E Moisture Cream,Face Cream,,,body shop,pcs,800,1150,2
FCoi026,VITAMIN C,Face Cream,,,body shop,pcs,1350,1800,1
